,State,County,Cases,Deaths,Date_parsing
0,Illinois,Illinois,83021,3601,2020-05-13
1,Illinois,Adams,41,1,2020-05-13
2,Illinois,Alexander,8,0,2020-05-13
3,Illinois,Bond,9,1,2020-05-13
4,Illinois,Boone,244,13,2020-05-13
5,Illinois,Brown,9,0,2020-05-13
6,Illinois,Bureau,15,1,2020-05-13
7,Illinois,Calhoun,1,0,2020-05-13
8,Illinois,Carroll,12,2,2020-05-13
9,Illinois,Cass,64,0,2020-05-13
10,Illinois,Champaign,303,6,2020-05-13
11,Illinois,Chicago,32557,1441,2020-05-13
12,Illinois,Christian,30,4,2020-05-13
13,Illinois,Clark,8,0,2020-05-13
14,Illinois,Clay,2,0,2020-05-13
15,Illinois,Clinton,128,12,2020-05-13
16,Illinois,Coles,58,2,2020-05-13
17,Illinois,Cook,22913,1008,2020-05-13
18,Illinois,Crawford,11,0,2020-05-13
19,Illinois,Cumberland,6,0,2020-05-13
20,Illinois,De Witt,3,0,2020-05-13
21,Illinois,DeKalb,203,2,2020-05-13
22,Illinois,Douglas,20,0,2020-05-13
23,Illinois,DuPage,5121,258,2020-05-13
24,Illinois,Edgar,0,0,2020-05-13
25,Illinois,Edwards,0,0,2020-05-13
26,Illinois,Effingham,6,1,2020-05-13
27,Illinois,Fayette,17,2,2020-05-13
28,Illinois,Ford,14,1,2020-05-13
29,Illinois,Franklin,10,0,2020-05-13
30,Illinois,Fulton,3,0,2020-05-13
31,Illinois,Gallatin,2,0,2020-05-13
32,Illinois,Greene,4,0,2020-05-13
33,Illinois,Grundy,61,1,2020-05-13
34,Illinois,Hamilton,2,0,2020-05-13
35,Illinois,Hancock,12,0,2020-05-13
36,Illinois,Hardin,1,0,2020-05-13
37,Illinois,Henderson,7,0,2020-05-13
38,Illinois,Henry,60,0,2020-05-13
39,Illinois,Iroquois,99,3,2020-05-13
40,Illinois,Jackson,167,10,2020-05-13
41,Illinois,Jasper,46,6,2020-05-13
42,Illinois,Jefferson,95,15,2020-05-13
43,Illinois,Jersey,17,1,2020-05-13
44,Illinois,Jo Daviess,18,0,2020-05-13
45,Illinois,Johnson,4,0,2020-05-13
46,Illinois,Kane,3592,93,2020-05-13
47,Illinois,Kankakee,583,31,2020-05-13
48,Illinois,Kendall,477,15,2020-05-13
49,Illinois,Knox,77,0,2020-05-13
50,Illinois,Lake,5662,185,2020-05-13
51,Illinois,LaSalle,106,5,2020-05-13
52,Illinois,Lawrence,3,0,2020-05-13
53,Illinois,Lee,69,0,2020-05-13
54,Illinois,Livingston,25,1,2020-05-13
55,Illinois,Logan,9,0,2020-05-13
56,Illinois,Macon,149,16,2020-05-13
57,Illinois,Macoupin,39,1,2020-05-13
58,Illinois,Madison,445,32,2020-05-13
59,Illinois,Marion,47,0,2020-05-13
60,Illinois,Marshall,4,0,2020-05-13
61,Illinois,Mason,15,0,2020-05-13
62,Illinois,Massac,6,0,2020-05-13
63,Illinois,McDonough,52,2,2020-05-13
64,Illinois,McHenry,1026,55,2020-05-13
65,Illinois,McLean,126,3,2020-05-13
66,Illinois,Menard,17,0,2020-05-13
67,Illinois,Mercer,12,0,2020-05-13
68,Illinois,Monroe,81,11,2020-05-13
69,Illinois,Montgomery,34,1,2020-05-13
70,Illinois,Morgan,32,1,2020-05-13
71,Illinois,Moultrie,6,0,2020-05-13
72,Illinois,Ogle,160,2,2020-05-13
73,Illinois,Out Of State,86,1,2020-05-13
74,Illinois,Peoria,143,6,2020-05-13
75,Illinois,Perry,38,0,2020-05-13
76,Illinois,Piatt,8,0,2020-05-13
77,Illinois,Pike,1,0,2020-05-13
78,Illinois,Pope,1,0,2020-05-13
79,Illinois,Pulaski,27,0,2020-05-13
80,Illinois,Putnam,0,0,2020-05-13
81,Illinois,Randolph,222,3,2020-05-13
82,Illinois,Richland,3,0,2020-05-13
83,Illinois,Rock Island,530,17,2020-05-13
84,Illinois,Saline,5,0,2020-05-13
85,Illinois,Sangamon,276,21,2020-05-13
86,Illinois,Schuyler,7,0,2020-05-13
87,Illinois,Scott,0,0,2020-05-13
88,Illinois,Shelby,10,1,2020-05-13
89,Illinois,St. Clair,727,53,2020-05-13
90,Illinois,Stark,1,0,2020-05-13
91,Illinois,Stephenson,110,0,2020-05-13
92,Illinois,Tazewell,58,3,2020-05-13
93,Illinois,Unassigned,61,1,2020-05-13
94,Illinois,Union,63,1,2020-05-13
95,Illinois,Vermilion,26,1,2020-05-13
96,Illinois,Wabash,1,0,2020-05-13
97,Illinois,Warren,106,0,2020-05-13
98,Illinois,Washington,17,0,2020-05-13
99,Illinois,Wayne,3,0,2020-05-13
100,Illinois,White,2,0,2020-05-13
101,Illinois,Whiteside,110,8,2020-05-13
102,Illinois,Will,3896,210,2020-05-13
103,Illinois,Williamson,44,1,2020-05-13
104,Illinois,Winnebago,1159,28,2020-05-13
105,Illinois,Woodford,15,1,2020-05-13
