,COUNTY_NAME,State,COVID_COUNT,COVID_DEATHS,COVID_TEST,Date
0,ADAMS,Indiana,10,1,275,2020-05-19
1,ALLEN,Indiana,1033,61,6532,2020-05-19
2,BARTHOLOMEW,Indiana,432,30,1401,2020-05-19
3,BENTON,Indiana,23,0,203,2020-05-19
4,BLACKFORD,Indiana,15,1,285,2020-05-19
5,BOONE,Indiana,260,33,1765,2020-05-19
6,BROWN,Indiana,32,1,147,2020-05-19
7,CARROLL,Indiana,79,2,786,2020-05-19
8,CASS,Indiana,1552,5,3276,2020-05-19
9,CLARK,Indiana,424,30,2654,2020-05-19
10,CLAY,Indiana,31,1,451,2020-05-19
11,CLINTON,Indiana,142,1,1040,2020-05-19
12,CRAWFORD,Indiana,22,0,226,2020-05-19
13,DAVIESS,Indiana,71,15,584,2020-05-19
14,DEARBORN,Indiana,158,19,707,2020-05-19
15,DECATUR,Indiana,220,31,777,2020-05-19
16,DEKALB,Indiana,25,1,451,2020-05-19
17,DELAWARE,Indiana,296,23,3024,2020-05-19
18,DUBOIS,Indiana,161,2,1027,2020-05-19
19,ELKHART,Indiana,687,23,5710,2020-05-19
20,FAYETTE,Indiana,42,4,442,2020-05-19
21,FLOYD,Indiana,301,37,1692,2020-05-19
22,FOUNTAIN,Indiana,18,2,317,2020-05-19
23,FRANKLIN,Indiana,106,7,321,2020-05-19
24,FULTON,Indiana,44,1,371,2020-05-19
25,GIBSON,Indiana,10,0,291,2020-05-19
26,GRANT,Indiana,166,18,1132,2020-05-19
27,GREENE,Indiana,160,21,731,2020-05-19
28,HAMILTON,Indiana,1033,90,10754,2020-05-19
29,HANCOCK,Indiana,292,23,2713,2020-05-19
30,HARRISON,Indiana,173,16,899,2020-05-19
31,HENDRICKS,Indiana,1039,61,5037,2020-05-19
32,HENRY,Indiana,128,3,1591,2020-05-19
33,HOWARD,Indiana,297,12,2064,2020-05-19
34,HUNTINGTON,Indiana,21,2,588,2020-05-19
35,JACKSON,Indiana,332,1,1459,2020-05-19
36,JASPER,Indiana,43,1,778,2020-05-19
37,JAY,Indiana,32,0,312,2020-05-19
38,JEFFERSON,Indiana,39,1,1024,2020-05-19
39,JENNINGS,Indiana,116,4,461,2020-05-19
40,JOHNSON,Indiana,1002,94,5466,2020-05-19
41,KNOX,Indiana,22,0,551,2020-05-19
42,KOSCIUSKO,Indiana,58,1,1239,2020-05-19
43,LAGRANGE,Indiana,50,2,317,2020-05-19
44,LAKE,Indiana,2886,140,16632,2020-05-19
45,LAPORTE,Indiana,360,16,2755,2020-05-19
46,LAWRENCE,Indiana,139,21,940,2020-05-19
47,MADISON,Indiana,551,57,3292,2020-05-19
48,MARION,Indiana,8406,480,41923,2020-05-19
49,MARSHALL,Indiana,42,1,992,2020-05-19
50,MARTIN,Indiana,8,0,119,2020-05-19
51,MIAMI,Indiana,130,1,962,2020-05-19
52,MONROE,Indiana,149,9,2244,2020-05-19
53,MONTGOMERY,Indiana,173,13,950,2020-05-19
54,MORGAN,Indiana,247,19,2050,2020-05-19
55,NEWTON,Indiana,71,9,257,2020-05-19
56,NOBLE,Indiana,152,20,731,2020-05-19
57,OHIO,Indiana,13,0,79,2020-05-19
58,ORANGE,Indiana,122,19,522,2020-05-19
59,OWEN,Indiana,27,1,491,2020-05-19
60,PARKE,Indiana,18,0,280,2020-05-19
61,PERRY,Indiana,19,0,309,2020-05-19
62,PIKE,Indiana,5,0,121,2020-05-19
63,PORTER,Indiana,405,12,3146,2020-05-19
64,POSEY,Indiana,16,0,280,2020-05-19
65,PULASKI,Indiana,35,0,363,2020-05-19
66,PUTNAM,Indiana,120,5,1052,2020-05-19
67,RANDOLPH,Indiana,32,3,452,2020-05-19
68,RIPLEY,Indiana,108,6,686,2020-05-19
69,RUSH,Indiana,42,2,392,2020-05-19
70,SCOTT,Indiana,97,2,1248,2020-05-19
71,SHELBY,Indiana,297,20,1429,2020-05-19
72,SPENCER,Indiana,12,1,268,2020-05-19
73,ST JOSEPH,Indiana,984,28,8006,2020-05-19
74,STARKE,Indiana,28,2,384,2020-05-19
75,STEUBEN,Indiana,67,2,563,2020-05-19
76,SULLIVAN,Indiana,28,0,658,2020-05-19
77,SWITZERLAND,Indiana,17,0,189,2020-05-19
78,TIPPECANOE,Indiana,307,2,4823,2020-05-19
79,TIPTON,Indiana,21,1,267,2020-05-19
80,UNION,Indiana,8,0,104,2020-05-19
81,VANDERBURGH,Indiana,219,2,5198,2020-05-19
82,VERMILLION,Indiana,7,0,225,2020-05-19
83,VIGO,Indiana,118,6,1662,2020-05-19
84,WABASH,Indiana,71,2,527,2020-05-19
85,WARREN,Indiana,12,1,127,2020-05-19
86,WARRICK,Indiana,151,24,1121,2020-05-19
87,WASHINGTON,Indiana,50,1,423,2020-05-19
88,WAYNE,Indiana,61,5,1014,2020-05-19
89,WELLS,Indiana,16,0,414,2020-05-19
90,WHITE,Indiana,183,5,1024,2020-05-19
91,WHITLEY,Indiana,28,2,347,2020-05-19
