,State,County,Cases,Deaths,Date_parsing
0,Iowa,County,       Confirmed,           Deaths,2020-05-13
1,Iowa,Polk,2447,64,2020-05-13
2,Iowa,Woodbury,1988,11,2020-05-13
3,Iowa,Black Hawk,1521,28,2020-05-13
4,Iowa,Linn,849,62,2020-05-13
5,Iowa,Marshall,738,3,2020-05-13
6,Iowa,Dallas,712,7,2020-05-13
7,Iowa,Johnson,559,7,2020-05-13
8,Iowa,Muscatine,502,24,2020-05-13
9,Iowa,Tama,341,13,2020-05-13
10,Iowa,Louisa,287,3,2020-05-13
11,Iowa,Scott,286,8,2020-05-13
12,Iowa,Wapello,283,0,2020-05-13
13,Iowa,Jasper,239,8,2020-05-13
14,Iowa,Dubuque,203,7,2020-05-13
15,Iowa,Crawford,197,1,2020-05-13
16,Iowa,Washington,163,7,2020-05-13
17,Iowa,Allamakee,113,4,2020-05-13
18,Iowa,Sioux,100,0,2020-05-13
19,Iowa,Pottawattamie,91,2,2020-05-13
20,Iowa,Poweshiek,81,7,2020-05-13
21,Iowa,Plymouth,67,0,2020-05-13
22,Iowa,Story,64,1,2020-05-13
23,Iowa,Bremer,60,5,2020-05-13
24,Iowa,Clinton,58,1,2020-05-13
25,Iowa,Warren,49,0,2020-05-13
26,Iowa,Cedar,44,1,2020-05-13
27,Iowa,Henry,43,1,2020-05-13
28,Iowa,Des Moines,43,1,2020-05-13
29,Iowa,Buena Vista,41,0,2020-05-13
30,Iowa,Boone,36,0,2020-05-13
31,Iowa,Benton,35,1,2020-05-13
32,Iowa,Guthrie,35,1,2020-05-13
33,Iowa,Jones,34,0,2020-05-13
34,Iowa,Clayton,28,3,2020-05-13
35,Iowa,Iowa,26,0,2020-05-13
36,Iowa,Fayette,24,0,2020-05-13
37,Iowa,Osceola,23,0,2020-05-13
38,Iowa,Buchanan,23,0,2020-05-13
39,Iowa,Shelby,21,0,2020-05-13
40,Iowa,Mahaska,21,1,2020-05-13
41,Iowa,Winneshiek,18,0,2020-05-13
42,Iowa,Obrien,18,0,2020-05-13
43,Iowa,Lee,18,0,2020-05-13
44,Iowa,Harrison,17,0,2020-05-13
45,Iowa,Lyon,16,0,2020-05-13
46,Iowa,Grundy,16,0,2020-05-13
47,Iowa,Marion,16,0,2020-05-13
48,Iowa,Cerro Gordo,14,0,2020-05-13
49,Iowa,Monona,13,0,2020-05-13
50,Iowa,Greene,13,0,2020-05-13
51,Iowa,Howard,12,0,2020-05-13
52,Iowa,Butler,12,0,2020-05-13
53,Iowa,Hardin,12,0,2020-05-13
54,Iowa,Madison,12,1,2020-05-13
55,Iowa,Hamilton,11,0,2020-05-13
56,Iowa,Davis,11,0,2020-05-13
57,Iowa,Delaware,10,1,2020-05-13
58,Iowa,Webster,10,0,2020-05-13
59,Iowa,Audubon,10,1,2020-05-13
60,Iowa,Page,10,0,2020-05-13
61,Iowa,Clay,9,0,2020-05-13
62,Iowa,Keokuk,9,0,2020-05-13
63,Iowa,Mills,9,0,2020-05-13
64,Iowa,Jefferson,8,0,2020-05-13
65,Iowa,Clarke,8,0,2020-05-13
66,Iowa,Van Buren,8,0,2020-05-13
67,Iowa,Chickasaw,7,0,2020-05-13
68,Iowa,Humboldt,7,0,2020-05-13
69,Iowa,Franklin,7,0,2020-05-13
70,Iowa,Jackson,7,0,2020-05-13
71,Iowa,Monroe,7,0,2020-05-13
72,Iowa,Appanoose,7,3,2020-05-13
73,Iowa,Dickinson,6,0,2020-05-13
74,Iowa,Floyd,6,1,2020-05-13
75,Iowa,Cherokee,6,0,2020-05-13
76,Iowa,Wright,6,0,2020-05-13
77,Iowa,Carroll,6,0,2020-05-13
78,Iowa,County Info Pending,6,,2020-05-13
79,Iowa,Winnebago,5,0,2020-05-13
80,Iowa,Montgomery,5,0,2020-05-13
81,Iowa,Mitchell,3,0,2020-05-13
82,Iowa,Hancock,3,0,2020-05-13
83,Iowa,Pocahontas,3,0,2020-05-13
84,Iowa,Adair,3,0,2020-05-13
85,Iowa,Fremont,3,0,2020-05-13
86,Iowa,Kossuth,2,0,2020-05-13
87,Iowa,Worth,2,0,2020-05-13
88,Iowa,Sac,2,0,2020-05-13
89,Iowa,Union,2,0,2020-05-13
90,Iowa,Palo Alto,1,0,2020-05-13
91,Iowa,Ida,1,0,2020-05-13
92,Iowa,Calhoun,1,0,2020-05-13
93,Iowa,Cass,1,0,2020-05-13
94,Iowa,Taylor,1,0,2020-05-13
95,Iowa,Wayne,1,0,2020-05-13
96,Iowa,Emmet,0,0,2020-05-13
97,Iowa,Adams,0,0,2020-05-13
98,Iowa,Lucas,0,0,2020-05-13
99,Iowa,Ringgold,0,0,2020-05-13
100,Iowa,Decatur,0,0,2020-05-13
