,State,County,Cases,Deaths,Date_parsing
0,Kansas,Allen,0,0,2020-04-30
1,Kansas,Anderson,0,0,2020-04-30
2,Kansas,Atchison,<20,0,2020-04-30
3,Kansas,Barber,<20,0,2020-04-30
4,Kansas,Barton,<20,0,2020-04-30
5,Kansas,Bourbon,<20,<20,2020-04-30
6,Kansas,Brown,0,0,2020-04-30
7,Kansas,Butler,<20,0,2020-04-30
8,Kansas,Chase,<20,0,2020-04-30
9,Kansas,Chautauqua,<20,0,2020-04-30
10,Kansas,Cherokee,<20,0,2020-04-30
11,Kansas,Cheyenne,<20,0,2020-04-30
12,Kansas,Clark,<20,0,2020-04-30
13,Kansas,Clay,<20,0,2020-04-30
14,Kansas,Cloud,<20,0,2020-04-30
15,Kansas,Coffey,48,<20,2020-04-30
16,Kansas,Comanche,0,0,2020-04-30
17,Kansas,Cowley,<20,<20,2020-04-30
18,Kansas,Crawford,<20,<20,2020-04-30
19,Kansas,Decatur,0,0,2020-04-30
20,Kansas,Dickinson,<20,0,2020-04-30
21,Kansas,Doniphan,<20,0,2020-04-30
22,Kansas,Douglas,49,0,2020-04-30
23,Kansas,Edwards,<20,0,2020-04-30
24,Kansas,Elk,<20,0,2020-04-30
25,Kansas,Ellis,<20,0,2020-04-30
26,Kansas,Ellsworth,0,0,2020-04-30
27,Kansas,Finney,215,<20,2020-04-30
28,Kansas,Ford,600,0,2020-04-30
29,Kansas,Franklin,<20,0,2020-04-30
30,Kansas,Geary,<20,0,2020-04-30
31,Kansas,Gove,<20,0,2020-04-30
32,Kansas,Graham,0,0,2020-04-30
33,Kansas,Grant,<20,0,2020-04-30
34,Kansas,Gray,<20,0,2020-04-30
35,Kansas,Greeley,0,0,2020-04-30
36,Kansas,Greenwood,<20,0,2020-04-30
37,Kansas,Hamilton,<20,0,2020-04-30
38,Kansas,Harper,0,0,2020-04-30
39,Kansas,Harvey,<20,0,2020-04-30
40,Kansas,Haskell,<20,0,2020-04-30
41,Kansas,Hodgeman,0,0,2020-04-30
42,Kansas,Jackson,<20,0,2020-04-30
43,Kansas,Jefferson,<20,0,2020-04-30
44,Kansas,Jewell,<20,0,2020-04-30
45,Kansas,Johnson,454,40,2020-04-30
46,Kansas,Kearny,<20,0,2020-04-30
47,Kansas,Kingman,0,0,2020-04-30
48,Kansas,Kiowa,<20,0,2020-04-30
49,Kansas,Labette,22,0,2020-04-30
50,Kansas,Lane,0,0,2020-04-30
51,Kansas,Leavenworth,196,<20,2020-04-30
52,Kansas,Lincoln,0,0,2020-04-30
53,Kansas,Linn,<20,0,2020-04-30
54,Kansas,Logan,0,0,2020-04-30
55,Kansas,Lyon,184,0,2020-04-30
56,Kansas,McPherson,20,0,2020-04-30
57,Kansas,Marion,<20,0,2020-04-30
58,Kansas,Marshall,0,0,2020-04-30
59,Kansas,Meade,<20,0,2020-04-30
60,Kansas,Miami,<20,0,2020-04-30
61,Kansas,Mitchell,<20,0,2020-04-30
62,Kansas,Montgomery,<20,<20,2020-04-30
63,Kansas,Morris,<20,0,2020-04-30
64,Kansas,Morton,<20,0,2020-04-30
65,Kansas,Nemaha,<20,0,2020-04-30
66,Kansas,Neosho,<20,0,2020-04-30
67,Kansas,Ness,0,0,2020-04-30
68,Kansas,Norton,0,0,2020-04-30
69,Kansas,Osage,<20,0,2020-04-30
70,Kansas,Osborne,<20,0,2020-04-30
71,Kansas,Ottawa,<20,0,2020-04-30
72,Kansas,Pawnee,0,0,2020-04-30
73,Kansas,Phillips,<20,0,2020-04-30
74,Kansas,Pottawatomie,<20,0,2020-04-30
75,Kansas,Pratt,<20,0,2020-04-30
76,Kansas,Rawlins,0,0,2020-04-30
77,Kansas,Reno,32,0,2020-04-30
78,Kansas,Republic,<20,0,2020-04-30
79,Kansas,Rice,<20,0,2020-04-30
80,Kansas,Riley,46,0,2020-04-30
81,Kansas,Rooks,<20,0,2020-04-30
82,Kansas,Rush,0,0,2020-04-30
83,Kansas,Russell,0,0,2020-04-30
84,Kansas,Saline,20,<20,2020-04-30
85,Kansas,Scott,0,0,2020-04-30
86,Kansas,Sedgwick,364,<20,2020-04-30
87,Kansas,Seward,460,0,2020-04-30
88,Kansas,Shawnee,112,<20,2020-04-30
89,Kansas,Sheridan,<20,0,2020-04-30
90,Kansas,Sherman,<20,0,2020-04-30
91,Kansas,Smith,<20,0,2020-04-30
92,Kansas,Stafford,<20,0,2020-04-30
93,Kansas,Stanton,<20,0,2020-04-30
94,Kansas,Stevens,<20,0,2020-04-30
95,Kansas,Sumner,<20,<20,2020-04-30
96,Kansas,Thomas,0,0,2020-04-30
97,Kansas,Trego,0,0,2020-04-30
98,Kansas,Wabaunsee,<20,0,2020-04-30
99,Kansas,Wallace,0,0,2020-04-30
100,Kansas,Washington,0,0,2020-04-30
101,Kansas,Wichita,0,0,2020-04-30
102,Kansas,Wilson,<20,0,2020-04-30
103,Kansas,Woodson,<20,0,2020-04-30
104,Kansas,Wyandotte,619,55,2020-04-30
