,State,County,Cases,Deaths,Date_parsing
0,Illinois,Acadia,159,11,2020-05-14
1,Illinois,Allen,94,10,2020-05-14
2,Illinois,Ascension,745,48,2020-05-14
3,Illinois,Assumption,234,11,2020-05-14
4,Illinois,Avoyelles,79,9,2020-05-14
5,Illinois,Beauregard,49,4,2020-05-14
6,Illinois,Bienville,81,20,2020-05-14
7,Illinois,Bossier,327,22,2020-05-14
8,Illinois,Caddo,1818,143,2020-05-14
9,Illinois,Calcasieu,507,40,2020-05-14
10,Illinois,Caldwell,48,0,2020-05-14
11,Illinois,Cameron,3,0,2020-05-14
12,Illinois,Catahoula,103,3,2020-05-14
13,Illinois,Claiborne,59,10,2020-05-14
14,Illinois,Concordia,54,4,2020-05-14
15,Illinois,De Soto,223,14,2020-05-14
16,Illinois,East Baton Rouge,2898,201,2020-05-14
17,Illinois,East Carroll,25,0,2020-05-14
18,Illinois,East Feliciana,169,21,2020-05-14
19,Illinois,Evangeline,74,1,2020-05-14
20,Illinois,Franklin,266,8,2020-05-14
21,Illinois,Grant,18,1,2020-05-14
22,Illinois,Iberia,352,33,2020-05-14
23,Illinois,Iberville,537,38,2020-05-14
24,Illinois,Jackson,70,8,2020-05-14
25,Illinois,Jefferson,6860,423,2020-05-14
26,Illinois,Jefferson Davis,69,6,2020-05-14
27,Illinois,La Salle,35,0,2020-05-14
28,Illinois,Lafayette,541,23,2020-05-14
29,Illinois,Lafourche,719,60,2020-05-14
30,Illinois,Lincoln,116,13,2020-05-14
31,Illinois,Livingston,343,23,2020-05-14
32,Illinois,Madison,18,0,2020-05-14
33,Illinois,Morehouse,89,5,2020-05-14
34,Illinois,Natchitoches,102,10,2020-05-14
35,Illinois,Orleans,6768,482,2020-05-14
36,Illinois,Ouachita,869,31,2020-05-14
37,Illinois,Out of State,0,0,2020-05-14
38,Illinois,Parish Under Investigation,65,0,2020-05-14
39,Illinois,Plaquemines,192,16,2020-05-14
40,Illinois,Pointe Coupee,152,17,2020-05-14
41,Illinois,Rapides,417,13,2020-05-14
42,Illinois,Red River,38,6,2020-05-14
43,Illinois,Richland,104,1,2020-05-14
44,Illinois,Sabine,29,0,2020-05-14
45,Illinois,St. Bernard,516,18,2020-05-14
46,Illinois,St. Charles,602,42,2020-05-14
47,Illinois,St. Helena,38,1,2020-05-14
48,Illinois,St. James,284,22,2020-05-14
49,Illinois,St. John the Baptist,820,78,2020-05-14
50,Illinois,St. Landry,244,51,2020-05-14
51,Illinois,St. Martin,278,22,2020-05-14
52,Illinois,St. Mary,263,27,2020-05-14
53,Illinois,St. Tammany,1511,142,2020-05-14
54,Illinois,Tangipahoa,696,30,2020-05-14
55,Illinois,Tensas,6,0,2020-05-14
56,Illinois,Terrebonne,550,41,2020-05-14
57,Illinois,Union,231,11,2020-05-14
58,Illinois,Vermilion,42,2,2020-05-14
59,Illinois,Vernon,19,2,2020-05-14
60,Illinois,Washington,356,29,2020-05-14
61,Illinois,Webster,112,5,2020-05-14
62,Illinois,West Baton Rouge,150,30,2020-05-14
63,Illinois,West Carroll,6,0,2020-05-14
64,Illinois,West Feliciana,181,7,2020-05-14
65,Illinois,Winn,66,2,2020-05-14
