,State,County,Cases,Deaths,Date_parsing
0,Vermont,Addison,61,<20,2020-04-30
1,Vermont,Bennington,44,<20,2020-04-30
2,Vermont,Caledonia,<20,0,2020-04-30
3,Vermont,Chittenden,416,31,2020-04-30
4,Vermont,Essex,<20,0,2020-04-30
5,Vermont,Franklin,91,<20,2020-04-30
6,Vermont,Grand Isle,<20,0,2020-04-30
7,Vermont,Lamoille,26,<20,2020-04-30
8,Vermont,Orange,<20,0,2020-04-30
9,Vermont,Orleans,<20,0,2020-04-30
10,Vermont,Rutland,44,<20,2020-04-30
11,Vermont,Washington,32,<20,2020-04-30
12,Vermont,Windham,71,<20,2020-04-30
13,Vermont,Windsor,40,<20,2020-04-30
