,State,County,Cases,Deaths,Date_parsing
0,Washington,Adams,47,0,2020-04-30
1,Washington,Asotin,<20,<20,2020-04-30
2,Washington,Benton,422,40,2020-04-30
3,Washington,Chelan,98,<20,2020-04-30
4,Washington,Clallam,<20,0,2020-04-30
5,Washington,Clark,317,<20,2020-04-30
6,Washington,Columbia,<20,0,2020-04-30
7,Washington,Cowlitz,41,0,2020-04-30
8,Washington,Douglas,77,<20,2020-04-30
9,Washington,Ferry,<20,0,2020-04-30
10,Washington,Franklin,276,<20,2020-04-30
11,Washington,Garfield,0,0,2020-04-30
12,Washington,Grant,155,<20,2020-04-30
13,Washington,Grays Harbor,<20,0,2020-04-30
14,Washington,Island,168,<20,2020-04-30
15,Washington,Jefferson,28,0,2020-04-30
16,Washington,King,6 103,438,2020-04-30
17,Washington,Kitsap,148,<20,2020-04-30
18,Washington,Kittitas,<20,0,2020-04-30
19,Washington,Klickitat,<20,<20,2020-04-30
20,Washington,Lewis,29,<20,2020-04-30
21,Washington,Lincoln,<20,0,2020-04-30
22,Washington,Mason,23,<20,2020-04-30
23,Washington,Okanogan,21,<20,2020-04-30
24,Washington,Pacific,<20,0,2020-04-30
25,Washington,Pend Oreille,<20,0,2020-04-30
26,Washington,Pierce,1 306,49,2020-04-30
27,Washington,San Juan,<20,0,2020-04-30
28,Washington,Skagit,322,<20,2020-04-30
29,Washington,Skamania,<20,0,2020-04-30
30,Washington,Snohomish,2 389,108,2020-04-30
31,Washington,Spokane,353,20,2020-04-30
32,Washington,Stevens,<20,<20,2020-04-30
33,Washington,Thurston,104,<20,2020-04-30
34,Washington,Wahkiakum,<20,0,2020-04-30
35,Washington,Walla Walla,62,0,2020-04-30
36,Washington,Whatcom,294,28,2020-04-30
37,Washington,Whitman,<20,0,2020-04-30
38,Washington,Yakima,1 082,47,2020-04-30
