,State,County,Cases,Deaths,Date_parsing
0,West Virginia,Barbour,<20,<20,2020-04-30
1,West Virginia,Berkeley,143,<20,2020-04-30
2,West Virginia,Boone,<20,0,2020-04-30
3,West Virginia,Braxton,<20,0,2020-04-30
4,West Virginia,Brooke,<20,0,2020-04-30
5,West Virginia,Cabell,42,0,2020-04-30
6,West Virginia,Calhoun,0,0,2020-04-30
7,West Virginia,Clay,0,0,2020-04-30
8,West Virginia,Doddridge,0,0,2020-04-30
9,West Virginia,Fayette,<20,0,2020-04-30
10,West Virginia,Gilmer,<20,0,2020-04-30
11,West Virginia,Grant,<20,0,2020-04-30
12,West Virginia,Greenbrier,<20,0,2020-04-30
13,West Virginia,Hampshire,<20,<20,2020-04-30
14,West Virginia,Hancock,<20,0,2020-04-30
15,West Virginia,Hardy,<20,0,2020-04-30
16,West Virginia,Harrison,30,<20,2020-04-30
17,West Virginia,Jackson,129,<20,2020-04-30
18,West Virginia,Jefferson,77,<20,2020-04-30
19,West Virginia,Kanawha,157,<20,2020-04-30
20,West Virginia,Lewis,<20,0,2020-04-30
21,West Virginia,Lincoln,<20,0,2020-04-30
22,West Virginia,Logan,<20,<20,2020-04-30
23,West Virginia,McDowell,<20,0,2020-04-30
24,West Virginia,Marion,45,<20,2020-04-30
25,West Virginia,Marshall,<20,0,2020-04-30
26,West Virginia,Mason,<20,0,2020-04-30
27,West Virginia,Mercer,<20,0,2020-04-30
28,West Virginia,Mineral,<20,0,2020-04-30
29,West Virginia,Mingo,<20,<20,2020-04-30
30,West Virginia,Monongalia,102,<20,2020-04-30
31,West Virginia,Monroe,<20,0,2020-04-30
32,West Virginia,Morgan,<20,0,2020-04-30
33,West Virginia,Nicholas,<20,0,2020-04-30
34,West Virginia,Ohio,27,<20,2020-04-30
35,West Virginia,Pendleton,<20,0,2020-04-30
36,West Virginia,Pleasants,<20,0,2020-04-30
37,West Virginia,Pocahontas,<20,0,2020-04-30
38,West Virginia,Preston,<20,0,2020-04-30
39,West Virginia,Putnam,25,0,2020-04-30
40,West Virginia,Raleigh,<20,0,2020-04-30
41,West Virginia,Randolph,<20,0,2020-04-30
42,West Virginia,Ritchie,0,0,2020-04-30
43,West Virginia,Roane,<20,0,2020-04-30
44,West Virginia,Summers,<20,0,2020-04-30
45,West Virginia,Taylor,<20,0,2020-04-30
46,West Virginia,Tucker,<20,0,2020-04-30
47,West Virginia,Tyler,<20,0,2020-04-30
48,West Virginia,Upshur,<20,0,2020-04-30
49,West Virginia,Wayne,85,<20,2020-04-30
50,West Virginia,Webster,0,0,2020-04-30
51,West Virginia,Wetzel,<20,0,2020-04-30
52,West Virginia,Wirt,<20,0,2020-04-30
53,West Virginia,Wood,39,<20,2020-04-30
54,West Virginia,Wyoming,<20,0,2020-04-30
